loss : 1.485426, modify_loss : 0.105551
loss : 1.386017, modify_loss : 0.123490
loss : 1.596472, modify_loss : 0.096747
loss : 1.400726, modify_loss : 0.123116
loss : 1.324185, modify_loss : 0.123860
loss : 1.414814, modify_loss : 0.118958
loss : 1.422001, modify_loss : 0.130163
loss : 1.464545, modify_loss : 0.128389
loss : 1.391154, modify_loss : 0.135598
loss : 1.449168, modify_loss : 0.122053
loss : 1.498477, modify_loss : 0.117272
loss : 1.404254, modify_loss : 0.130721
loss : 1.366523, modify_loss : 0.119724
loss : 1.370215, modify_loss : 0.122032
loss : 1.343806, modify_loss : 0.128633
loss : 1.313747, modify_loss : 0.130536
loss : 1.356507, modify_loss : 0.134267
loss : 1.400137, modify_loss : 0.139155
loss : 1.390929, modify_loss : 0.138423
loss : 1.388204, modify_loss : 0.133726
loss : 1.384209, modify_loss : 0.136845
loss : 1.387574, modify_loss : 0.142127
loss : 1.285726, modify_loss : 0.141736
loss : 1.315051, modify_loss : 0.138055
loss : 1.374971, modify_loss : 0.134587
loss : 1.430255, modify_loss : 0.127987
loss : 1.258378, modify_loss : 0.150363
loss : 1.424938, modify_loss : 0.113285
loss : 1.360141, modify_loss : 0.113645
loss : 1.340467, modify_loss : 0.136082
loss : 1.412732, modify_loss : 0.131977
loss : 1.397873, modify_loss : 0.121350
loss : 1.315644, modify_loss : 0.135449
loss : 1.358245, modify_loss : 0.130720
loss : 1.328062, modify_loss : 0.139433
loss : 1.260441, modify_loss : 0.152616
loss : 1.363514, modify_loss : 0.132307
loss : 1.249963, modify_loss : 0.153904
loss : 1.364936, modify_loss : 0.133620
loss : 1.287172, modify_loss : 0.133762
loss : 1.254305, modify_loss : 0.145093
loss : 1.290780, modify_loss : 0.134056
loss : 1.322003, modify_loss : 0.128493
loss : 1.210920, modify_loss : 0.164906
loss : 1.368855, modify_loss : 0.124348
loss : 1.322972, modify_loss : 0.141945
loss : 1.359970, modify_loss : 0.131025
loss : 1.285746, modify_loss : 0.141385
loss : 1.333762, modify_loss : 0.132444
loss : 1.315405, modify_loss : 0.129018
loss : 1.287464, modify_loss : 0.158875
loss : 1.293423, modify_loss : 0.143849
loss : 1.230399, modify_loss : 0.150926
loss : 1.360437, modify_loss : 0.136312
loss : 1.342404, modify_loss : 0.138146
loss : 1.295753, modify_loss : 0.138294
loss : 1.260680, modify_loss : 0.131994
loss : 1.242927, modify_loss : 0.139242
loss : 1.268785, modify_loss : 0.135601
loss : 1.246890, modify_loss : 0.133993
loss : 1.353583, modify_loss : 0.124391
loss : 1.313238, modify_loss : 0.131942
loss : 1.274798, modify_loss : 0.142708
loss : 1.314342, modify_loss : 0.139357
loss : 1.214023, modify_loss : 0.147670
loss : 1.215043, modify_loss : 0.156127
loss : 1.259261, modify_loss : 0.141037
loss : 1.269879, modify_loss : 0.135165
loss : 1.224521, modify_loss : 0.162348
loss : 1.287567, modify_loss : 0.153998
loss : 1.366410, modify_loss : 0.141608
loss : 1.217352, modify_loss : 0.163730
loss : 1.281050, modify_loss : 0.155198
loss : 1.281550, modify_loss : 0.154964
loss : 1.230259, modify_loss : 0.154365
loss : 1.262054, modify_loss : 0.145488
loss : 1.200907, modify_loss : 0.162858
loss : 1.247425, modify_loss : 0.157941
loss : 1.228336, modify_loss : 0.168749
loss : 1.241727, modify_loss : 0.160080
loss : 1.210911, modify_loss : 0.160945
loss : 1.229809, modify_loss : 0.163109
loss : 1.255870, modify_loss : 0.141878
loss : 1.222445, modify_loss : 0.155725
loss : 1.271099, modify_loss : 0.139512
loss : 1.248722, modify_loss : 0.140953
loss : 1.204965, modify_loss : 0.160778
loss : 1.173817, modify_loss : 0.162138
loss : 1.220018, modify_loss : 0.157772
loss : 1.142003, modify_loss : 0.167443
loss : 1.249690, modify_loss : 0.139330
loss : 1.157164, modify_loss : 0.161799
loss : 1.207594, modify_loss : 0.162393
loss : 1.252090, modify_loss : 0.141163
loss : 1.231998, modify_loss : 0.138576
loss : 1.300942, modify_loss : 0.151975
loss : 1.151227, modify_loss : 0.150768
loss : 1.141785, modify_loss : 0.170712
loss : 1.330203, modify_loss : 0.136961
loss : 1.281380, modify_loss : 0.135818
loss : 1.171408, modify_loss : 0.166431
loss : 1.168848, modify_loss : 0.152101
loss : 1.228782, modify_loss : 0.149389
loss : 1.271291, modify_loss : 0.126847
loss : 1.159605, modify_loss : 0.145705
loss : 1.212298, modify_loss : 0.133516
loss : 1.223667, modify_loss : 0.132264
loss : 1.242132, modify_loss : 0.123046
loss : 1.158787, modify_loss : 0.145817
loss : 1.173726, modify_loss : 0.148529
loss : 1.095886, modify_loss : 0.173139
loss : 1.145592, modify_loss : 0.175716
loss : 1.168840, modify_loss : 0.158301
loss : 1.149545, modify_loss : 0.157428
loss : 1.129854, modify_loss : 0.179776
loss : 1.229947, modify_loss : 0.148034
loss : 1.120801, modify_loss : 0.171339
loss : 1.159355, modify_loss : 0.160917
loss : 1.205870, modify_loss : 0.146850
loss : 1.093285, modify_loss : 0.176503
loss : 1.120792, modify_loss : 0.164562
loss : 1.138492, modify_loss : 0.155895
loss : 1.118494, modify_loss : 0.161439
loss : 1.094563, modify_loss : 0.168883
loss : 1.177117, modify_loss : 0.167889
loss : 1.176769, modify_loss : 0.152389
loss : 1.127254, modify_loss : 0.188127
loss : 1.147728, modify_loss : 0.159226
loss : 1.071273, modify_loss : 0.177861
loss : 1.235756, modify_loss : 0.154386
loss : 1.074491, modify_loss : 0.179082
loss : 1.101570, modify_loss : 0.175204
loss : 1.135572, modify_loss : 0.176980
loss : 1.081897, modify_loss : 0.184735
loss : 1.001553, modify_loss : 0.189901
loss : 1.122207, modify_loss : 0.167642
loss : 1.064340, modify_loss : 0.179920
loss : 1.128960, modify_loss : 0.176656
loss : 1.056141, modify_loss : 0.178109
loss : 1.141868, modify_loss : 0.164312
loss : 1.106197, modify_loss : 0.161028
loss : 1.080953, modify_loss : 0.169829
loss : 1.172196, modify_loss : 0.141003
loss : 1.116594, modify_loss : 0.158604
loss : 1.113428, modify_loss : 0.164480
loss : 1.095268, modify_loss : 0.180393
loss : 1.104432, modify_loss : 0.166215
loss : 1.146165, modify_loss : 0.179057
loss : 1.066561, modify_loss : 0.197735
loss : 1.119843, modify_loss : 0.182712
loss : 1.088614, modify_loss : 0.180120
loss : 1.024337, modify_loss : 0.179802
loss : 1.124915, modify_loss : 0.168004
loss : 1.040175, modify_loss : 0.171226
loss : 1.071420, modify_loss : 0.174988
loss : 1.054267, modify_loss : 0.189072
loss : 1.054618, modify_loss : 0.179018
loss : 1.014092, modify_loss : 0.198686
loss : 1.198600, modify_loss : 0.176259
loss : 1.106710, modify_loss : 0.177833
loss : 1.002270, modify_loss : 0.197470
loss : 1.077886, modify_loss : 0.160571
loss : 1.178826, modify_loss : 0.146095
loss : 1.117692, modify_loss : 0.173945
loss : 1.160164, modify_loss : 0.140821
loss : 1.101346, modify_loss : 0.169965
loss : 1.082834, modify_loss : 0.156221
